央 视 ,#genre#
CCTV-1高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227479/index.m3u8
CCTV-2高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227477/index.m3u8
CCTV-3高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227435/index.m3u8
CCTV-4高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227373/index.m3u8
CCTV-5高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227491/index.m3u8
CCTV-5+高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227493/index.m3u8
CCTV-6高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227431/index.m3u8
CCTV-7高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227429/index.m3u8
CCTV-8高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227427/index.m3u8
CCTV-9高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227425/index.m3u8
CCTV-10高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227375/index.m3u8
CCTV-11高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227922/index.m3u8
CCTV12高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227377/index.m3u8
CCTV-13高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227926/index.m3u8
CCTV14高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227379/index.m3u8
cctv17高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227577/index.m3u8
卫 视 ,#genre#
浙江卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227351/index.m3u8
湖南卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227369/index.m3u8
河南卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227923/index.m3u8
天津卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227343/index.m3u8
辽宁卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227345/index.m3u8
黑龙江卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227347/index.m3u8
东南卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227353/index.m3u8
江西卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227355/index.m3u8
贵州卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227357/index.m3u8
重庆卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227359/index.m3u8
广东卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227361/index.m3u8
安徽卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227363/index.m3u8
山东卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227365/index.m3u8
湖北卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227367/index.m3u8
吉林卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227935/index.m3u8
甘肃卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227937/index.m3u8
四川卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227417/index.m3u8
深圳卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227419/index.m3u8
江苏卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227421/index.m3u8
金鹰纪实高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227371/index.m3u8
北京卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227397/index.m3u8
河北卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227399/index.m3u8
东方卫视高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227401/index.m3u8
金鹰卡通,http://175.152.46.94:8000/PLTV/88888888/224/3221227149/index.m3u8
卡酷动画,http://175.152.46.94:8000/PLTV/88888888/224/3221227189/index.m3u8
纪实人文高清,http://175.152.46.94:8000/PLTV/88888888/224/3221227349/index.m3u8
cgtn,http://175.152.46.94:8000/PLTV/88888888/224/3221227391/index.m3u8
